	year	selling_price	km_driven	engine(CC)	fuel_CNG	fuel_Diesel	fuel_LPG	fuel_Petrol	seller_type_Dealer	seller_type_Individual	seller_type_Trustmark Dealer	transmission_Automatic	transmission_Manual	owner_First Owner	owner_Fourth & Above Owner	owner_Second Owner	owner_Test Drive Car	owner_Third Owner	seats_10.0	seats_14.0	seats_2.0	seats_4.0	seats_5.0	seats_6.0	seats_7.0	seats_8.0	seats_9.0	engine(CC)_binning_1	engine(CC)_binning_2	engine(CC)_binning_3	engine(CC)_binning_4
2103	2007	300000	120000	2523.0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
2104	2015	900000	145000	1582.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2106	2018	1530000	40000	2179.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2107	2015	590000	110000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2108	2008	170000	112000	1061.0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2109	2017	2600000	70000	1968.0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2110	2016	475000	110000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2111	2018	700000	29000	1186.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2115	2012	440000	120000	2179.0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
2117	2012	725000	159000	2494.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2118	2012	325000	110000	2523.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2120	2010	215000	120000	1248.0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2121	2010	350000	110000	1497.0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2125	2014	335000	71000	1461.0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2126	2011	475000	108000	2179.0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2127	2015	484999	75000	1461.0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2128	2018	650000	22000	1462.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2129	2014	1850000	76131	2967.0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
2130	2018	700000	30000	1197.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2131	2014	3000000	65000	2967.0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2132	2018	900000	60000	2523.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2133	2013	350000	80000	1199.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2134	2005	285000	80000	2997.0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
2135	2012	1850000	70000	2967.0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2136	2017	750000	51777	1248.0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2137	2013	1650000	64788	2179.0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
2138	2018	600000	20000	1199.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2141	2016	329000	19000	1198.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2142	2016	650000	50000	1498.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2143	2015	822000	60000	1582.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2144	2013	345000	100000	1461.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2146	2012	330000	50000	1248.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2148	2009	200000	90000	1586.0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2151	2010	200000	80000	1061.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2152	2016	550000	35000	1120.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2153	2015	250000	23500	1199.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2154	2017	975000	82000	1498.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2155	2014	900000	100000	2494.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
2156	2018	610000	15000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2157	2017	620000	30000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2158	2016	400000	30000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2160	2017	200000	140000	1198.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2161	2016	360000	110000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2163	2012	280000	70000	1248.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2164	2018	509999	70000	1197.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2165	2016	1050000	58000	1997.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2166	2010	200000	40000	1061.0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2168	2010	320000	40000	2498.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2169	2013	520000	110000	2179.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
2170	2007	250000	80000	2179.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2171	2017	725000	60000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2172	2015	585000	50000	2523.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2173	2017	430000	25000	1199.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2174	2011	235000	100000	1248.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2175	2012	350000	52000	1248.0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2176	2010	131000	80000	1086.0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2177	2016	450000	85000	1498.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2178	2016	750000	83000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2180	2009	125000	120000	1061.0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2181	2014	500000	100000	2523.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2182	2012	380000	70000	1248.0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2184	2009	250000	68600	1497.0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2185	2017	690000	60000	1493.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2186	2014	650000	65000	2523.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2187	2012	560000	40000	1497.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2191	2018	950000	13887	1591.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2195	2011	130000	60000	1399.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2196	2016	595000	60000	1396.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2197	2011	110000	120000	1405.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2198	2017	680000	13500	1497.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2199	2013	280000	52000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2200	2017	530000	30000	1197.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2201	2017	610000	14000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2202	2014	500000	90000	2179.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2203	2018	500000	50000	1047.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2204	2010	250000	120000	2489.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
2206	2018	550000	10000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2207	2018	720000	25000	1373.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2208	2017	950000	20000	1591.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2209	2013	350000	60000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2210	2018	500000	40000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2211	2012	380000	60000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2212	2015	380000	50000	1197.0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2213	2017	900000	20000	1591.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2215	2016	640000	40000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2216	2018	790000	60000	1497.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2217	2015	625000	20000	1591.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2218	2017	604000	30000	1497.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2220	2019	950000	17000	1497.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2222	2018	700000	42000	1368.0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2223	2011	700000	120000	2494.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
2224	2012	260000	110000	1461.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2225	2012	200000	90000	1396.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2226	2020	580000	70000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2227	2011	330000	66000	1598.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2228	2011	400000	70000	1493.0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2229	2018	1350000	5000	1591.0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2230	2014	250000	50000	1461.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2231	2019	725000	25000	1598.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2232	2013	300000	70000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2234	2016	1175000	110000	2179.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2235	2009	380000	150000	2179.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2236	2014	400000	45000	1405.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2237	2005	140000	90000	1405.0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2238	2011	229999	140000	2179.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2239	2003	110000	83000	1299.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2240	2011	550000	106000	1968.0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2241	2008	150000	60000	1150.0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2243	2011	300000	138000	1197.0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2245	2005	130000	50000	1341.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2246	2015	350000	50000	1199.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2247	2009	200000	120000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2248	2018	550000	24400	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2249	2013	400000	60000	2523.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2250	2010	170000	120000	1197.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2251	2015	600000	60000	1396.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2257	2010	200000	120000	1197.0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2259	2015	650000	80000	1396.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2260	2013	210000	120000	1193.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2261	2015	509999	90000	1120.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2262	2013	229999	70000	1399.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2263	2014	409999	188000	1461.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2268	2017	775000	100000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2270	2016	480000	70000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2272	2010	260000	380000	2523.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2274	2018	600000	15000	1199.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2275	2009	140000	140000	1399.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2277	2007	195000	112880	1248.0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2278	2013	210000	135000	1405.0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2280	2012	141000	128000	1199.0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2281	2011	280000	120000	2523.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2282	2010	350000	30000	1586.0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2283	2018	575000	70000	1198.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2284	2015	550000	41000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2288	2011	250000	35000	1495.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2289	2010	300000	22000	1586.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2292	2018	750000	70000	1493.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2293	2005	151000	200000	2179.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
2294	2011	300000	120000	2179.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2295	2019	577000	3000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2297	2013	500000	50000	2523.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2298	2019	840000	1500	1199.0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2299	2017	900000	74000	1498.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2300	2017	650000	25000	1199.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2301	2016	650000	61915	1498.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2303	2016	550000	70000	1498.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2304	2007	250000	150000	1248.0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2305	2013	350000	110000	1493.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2307	2010	229999	120000	1196.0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2308	2016	1000000	65000	2494.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
2309	2019	490000	10000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2310	2009	150000	80000	1197.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2311	2013	600000	184000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2314	2008	150000	89000	1586.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2315	2014	335000	33033	1198.0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2316	2013	525000	69000	1248.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2317	2015	465000	63063	1197.0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2318	2012	83000	90000	1396.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2320	2012	350000	35000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2321	2011	300000	45000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2322	2011	250000	30000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2324	2018	700000	6200	1462.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
2328	2017	850000	110000	2523.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2331	2014	600000	110000	2499.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
2333	2005	150000	120000	1495.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2334	2012	259000	35000	1396.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2335	2012	220000	90000	1396.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2336	2012	246000	35000	1396.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2337	2009	240000	120000	1298.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2338	2018	946000	60000	1396.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2339	2011	215000	70000	1396.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2341	2013	310000	100000	1498.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2342	2008	220000	35000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2343	2008	195000	90000	1248.0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2344	2015	650000	50000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2345	2011	350000	98000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2346	2013	360000	30000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2347	2013	550000	50000	1797.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2348	2016	490000	26000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2351	2019	459999	10000	1199.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2353	2018	680000	70000	1248.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2354	2015	600000	7967	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2355	2018	720000	20000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2358	2011	225000	50000	1086.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2359	2019	725000	17000	1498.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2362	2013	400000	43000	1197.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2363	2013	550000	50000	1396.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2365	2012	409999	100000	2498.0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
2366	2010	110000	80000	1086.0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2367	2012	450000	120000	2523.0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2368	2019	610000	5000	1197.0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2369	2016	515000	68609	1498.0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
2370	2018	925000	33360	1498.0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
